date,exception_type,service_id
20180528,2,82_WKD
20180528,2,82_WKD:R
20180528,1,82_HOL
20180704,2,82_WKD
20180704,2,82_WKD:R
20180704,1,82_HOL
20180902,2,83_SUN:L
20180903,2,83_WKD
20180903,2,83_WKD:G
20180903,2,83_WKD:L#6
20180903,2,83_WKD:S
20180903,2,83_WKD:S#6
20180903,1,83_HOL
20181121,2,83_WKD:L#6
20181122,2,83_WKD
20181122,2,83_WKD:G
20181122,2,83_WKD:L#6
20181122,2,83_WKD:S
20181122,2,83_WKD:S#6
20181122,1,83_HOL
20181123,2,83_WKD
20181123,2,83_WKD:G
20181123,2,83_WKD:L=6
20181123,2,83_WKD:S
20181123,2,83_WKD:S=6
20181123,1,83_MWK
20181123,1,83_MWK:R
20181124,2,83_SAT:L
20181124,2,83_SAT:S
20181124,1,83_SAT:R
