route_id,fare_id
7965,c
7966,c
7967,c
7968,c
7969,c
7970,c
7971,c
7972,c
7973,c
7974,c
7975,c
7976,c
7977,c
7978,c
7979,c
7980,c
7981,c
7982,c
7983,c
7984,c
7985,c
7986,c
7987,c
7988,c
7989,c
7990,c
7991,c
7992,c
7993,c
7994,c
7995,c
7996,c
7997,c
7998,c
7999,c
8000,c
8001,c
8002,c
8003,c
8004,c
8005,c
8006,c
8007,c
8008,c
8009,c
8010,c
8011,c
8012,c
8013,c
8014,c
8015,c
8016,c
8017,c
8018,c
8019,c
8020,c
8021,c
8022,c
8023,f
8024,f
8025,f
8026,f
8052,c
8053,c
8054,c
8055,c
8056,c
8057,c
8058,c
8059,c
8060,c
8061,c
8062,c
8063,c
8064,c
8065,c
8066,c
8067,c
8068,c
8069,c
8070,c
8071,c
8072,c
8073,c
8074,c
8075,c
8076,c
8077,c
8078,c
8079,c
8080,c
8081,c
8082,c
8083,c
8084,c
8085,c
8086,c
8087,c
8088,c
8089,c
8090,c
8091,c
8092,c
8093,c
8094,c
8095,c
8096,c
8097,c
8098,c
8099,c
8100,c
8101,c
8102,c
8103,c
8104,c
8105,c
8106,c
8107,c
8108,c
8109,c
8110,f
8111,f
8112,f
8113,f
